title,content,url,timestamp,tags
日本政府汇编的估算显示，国家和地方政府的基本财政平衡在2025财年将出现赤字。,日本政府汇编的估算显示，国家和地方政府的基本财政平衡在2025财年将出现赤字。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzv8648790.shtml,2025-01-14 17:31:53,['国际']
据波兰国家广播公司TVP援引外交部消息人士报道，有船只被发现围绕波罗的海管道转悠，该管道负责在挪威和波兰之间输送天然气。,据波兰国家广播公司TVP援引外交部消息人士报道，有船只被发现围绕波罗的海管道转悠，该管道负责在挪威和波兰之间输送天然气。,,2025-01-14 17:31:42,"['公司', '国际']"
【俄总统新闻秘书：俄罗斯非常重视同伊朗签署战略伙伴关系条约】俄罗斯总统新闻秘书佩斯科夫表示，俄罗斯非常重视同伊朗签署全面战略伙伴关系条约。,【俄总统新闻秘书：俄罗斯非常重视同伊朗签署战略伙伴关系条约】俄罗斯总统新闻秘书佩斯科夫表示，俄罗斯非常重视同伊朗签署全面战略伙伴关系条约。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzu1873408.shtml,2025-01-14 17:30:08,['国际']
【特朗普谈洛杉矶山火：灾区遭大火破坏程度比“被核武器击中还严重”】美国加利福尼亚州洛杉矶地区连日来山火肆虐。据英国天空新闻网、美国《野兽日报》等媒体13日报道，美国当选总统特朗普接受美国保守派媒体Newsmax采访时表示，自己现在像房地产开发商一样看待洛杉矶，并表示受灾地区遭破坏程度甚至比“被核武器击中还严重”。（环球网）,【特朗普谈洛杉矶山火：灾区遭大火破坏程度比“被核武器击中还严重”】美国加利福尼亚州洛杉矶地区连日来山火肆虐。据英国天空新闻网、美国《野兽日报》等媒体13日报道，美国当选总统特朗普接受美国保守派媒体Newsmax采访时表示，自己现在像房地产开发商一样看待洛杉矶，并表示受灾地区遭破坏程度甚至比“被核武器击中还严重”。（环球网）,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzu1873366.shtml,2025-01-14 17:29:58,['国际']
标普：欧洲汽车行业的挑战可能会损害中欧经济及贷款机构的资产质量；中欧银行资本充足且盈利能力强，能够应对其汽车投资组合中的压力。,标普：欧洲汽车行业的挑战可能会损害中欧经济及贷款机构的资产质量；中欧银行资本充足且盈利能力强，能够应对其汽车投资组合中的压力。,,2025-01-14 17:28:00,['国际']
中东原油基准阿曼原油价格升至自2022年11月以来的最高点，连续第二天上涨。,中东原油基准阿曼原油价格升至自2022年11月以来的最高点，连续第二天上涨。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzt1022316.shtml,2025-01-14 17:27:25,"['市场', '国际']"
印尼通信部长表示，印尼正在考虑为社交媒体用户设定最低年龄限制。,印尼通信部长表示，印尼正在考虑为社交媒体用户设定最低年龄限制。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzu1866366.shtml,2025-01-14 17:17:25,['国际']
【泽连斯基提交法律草案 拟将战时状态和总动员令再延长90天】当地时间1月14日，乌克兰总统泽连斯基向乌最高拉达（议会）提交了关于将战时状态和总动员令再延长90天的法律草案。,【泽连斯基提交法律草案 拟将战时状态和总动员令再延长90天】当地时间1月14日，乌克兰总统泽连斯基向乌最高拉达（议会）提交了关于将战时状态和总动员令再延长90天的法律草案。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzv8638965.shtml,2025-01-14 17:13:40,['国际']
【乌称对俄发动大规模无人机袭击】乌克兰武装部队当地时间1月13日夜及14日凌晨对俄罗斯发动了大规模无人机袭击，俄罗斯图拉地区、恩格斯市、罗斯托夫地区、坦波夫地区、沃罗涅日和奥廖尔地区等多地遭到袭击。报道称，俄罗斯遭到了能够携带炸弹的乌克兰无人机袭击。,【乌称对俄发动大规模无人机袭击】乌克兰武装部队当地时间1月13日夜及14日凌晨对俄罗斯发动了大规模无人机袭击，俄罗斯图拉地区、恩格斯市、罗斯托夫地区、坦波夫地区、沃罗涅日和奥廖尔地区等多地遭到袭击。报道称，俄罗斯遭到了能够携带炸弹的乌克兰无人机袭击。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzu1863689.shtml,2025-01-14 17:12:32,['国际']
【中国半导体行业协会：美对华出口限制造成了美国芯片的不安全性和不可靠性】1月13日，美国商务部发布人工智能扩散出口管制框架临时最终规则，而上月2日，美国政府已经开展了一轮对华半导体打压，将140家中国企业列入实体清单，涉及半导体制造设备、电子设计自动化工具等多个种类的半导体产品，禁止大多数美国供应商向这些公司发货。近日，中国半导体行业协会（CSIA）副理事长魏少军接受澎湃新闻记者采访时表示，多年来，中国一直是全球最大的单一国家半导体市场，中国的很多企业也是美国企业的最大和最优质的客户，“在市场经济高度发达的今天，我们听说过客户制裁供应商，但供应商制裁客户是什么商业逻辑？”魏少军表示，过去数十年，半导体产业按照世界贸易规则在世界范围内形成了基于国际合作的全球产业链。全球半导体企业和产业链上下游各方都是这一全球产业链的受益者，全球电子信息产业的健康发展有赖于这一全球产业链的稳健运行。美国政府随意修改贸易规则，增加贸易壁垒，不遵守自己牵头确定的世界半导体理事会（WSC）宪章，破坏了全球产业的合作基础。（澎湃新闻）,【中国半导体行业协会：美对华出口限制造成了美国芯片的不安全性和不可靠性】1月13日，美国商务部发布人工智能扩散出口管制框架临时最终规则，而上月2日，美国政府已经开展了一轮对华半导体打压，将140家中国企业列入实体清单，涉及半导体制造设备、电子设计自动化工具等多个种类的半导体产品，禁止大多数美国供应商向这些公司发货。近日，中国半导体行业协会（CSIA）副理事长魏少军接受澎湃新闻记者采访时表示，多年来，中国一直是全球最大的单一国家半导体市场，中国的很多企业也是美国企业的最大和最优质的客户，“在市场经济高度发达的今天，我们听说过客户制裁供应商，但供应商制裁客户是什么商业逻辑？”魏少军表示，过去数十年，半导体产业按照世界贸易规则在世界范围内形成了基于国际合作的全球产业链。全球半导体企业和产业链上下游各方都是这一全球产业链的受益者，全球电子信息产业的健康发展有赖于这一全球产业链的稳健运行。美国政府随意修改贸易规则，增加贸易壁垒，不遵守自己牵头确定的世界半导体理事会（WSC）宪章，破坏了全球产业的合作基础。（澎湃新闻）,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzv8638190.shtml,2025-01-14 17:12:28,"['行业', '观点', '国际']"
【中国通信企业协会：信息通信业对美国芯片产品的信任已经动摇】美东时间1月13日，美国商务部发布人工智能扩散出口管制框架临时最终规则，再次升级对华先进芯片出口管制。中国通信企业协会副秘书长王涛在接受记者采访时表示，中国信息通信业对于采购美国企业芯片产品的信任和信心已经动摇，认为美国芯片产品不再可靠，不再安全。半导体产业原本是一个高度全球化，分工合作、相互依赖的生态。美国半导体产业的发展壮大也依赖于包括中国在内的全球市场，且美国大厂大部分位于产业链高利润区。但美国通过“长臂管辖”粗暴切断全球分工，给半导体产业带来了极大的挑战和不确定性，也使得产业对美国芯片的不信任感在增加。（澎湃）,【中国通信企业协会：信息通信业对美国芯片产品的信任已经动摇】美东时间1月13日，美国商务部发布人工智能扩散出口管制框架临时最终规则，再次升级对华先进芯片出口管制。中国通信企业协会副秘书长王涛在接受记者采访时表示，中国信息通信业对于采购美国企业芯片产品的信任和信心已经动摇，认为美国芯片产品不再可靠，不再安全。半导体产业原本是一个高度全球化，分工合作、相互依赖的生态。美国半导体产业的发展壮大也依赖于包括中国在内的全球市场，且美国大厂大部分位于产业链高利润区。但美国通过“长臂管辖”粗暴切断全球分工，给半导体产业带来了极大的挑战和不确定性，也使得产业对美国芯片的不信任感在增加。（澎湃）,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzu1860231.shtml,2025-01-14 17:06:38,"['行业', '观点', '国际']"
【英国国债收益率下跌 通胀数据公布前投资者保持谨慎】英国政府债券收益率下跌，投资者等待英国财政部长Rachel Reeves周二发表声明。XTB研究主管Kathleen Brooks在一份报告中表示，投资者希望政府对负责任的公共支出的承诺得到保证。然而，在英国周三公布通胀数据之前，投资者仍持谨慎态度。Brooks表示，英国通胀率的大幅上升可能会推高债券收益率。Tradeweb数据显示，10年期英国国债收益率下降1个基点，至4.860%。30年期英国国债收益率下跌1个基点，至5.418%。上周，英国长期国债收益率创下多年新高。,【英国国债收益率下跌 通胀数据公布前投资者保持谨慎】英国政府债券收益率下跌，投资者等待英国财政部长Rachel Reeves周二发表声明。XTB研究主管Kathleen Brooks在一份报告中表示，投资者希望政府对负责任的公共支出的承诺得到保证。然而，在英国周三公布通胀数据之前，投资者仍持谨慎态度。Brooks表示，英国通胀率的大幅上升可能会推高债券收益率。Tradeweb数据显示，10年期英国国债收益率下降1个基点，至4.860%。30年期英国国债收益率下跌1个基点，至5.418%。上周，英国长期国债收益率创下多年新高。,https://finance.sina.com.cn/7x24/2025-01-14/doc-ineextzv8633666.shtml,2025-01-14 17:05:04,"['市场', '国际']"
